GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ctiptest,default,CodePayment,14,8,0,0,6,4,4,2,4,2
ctiptest,default,CardPayment,7,118,4,4,4,23,4,5,0,5
ctiptest,default,Message,0,67,0,0,0,25,0,11,0,11
ctiptest,default,OtherDVMs,8,1884,2,8,2,219,2,11,0,8
ctiptest,default,DVMc,9,167,2,4,3,39,2,14,0,13
ctiptest,default,MyFrame,982,0,50,0,158,0,36,0,11,0
ctiptest,default,MyFrame.PadInput,531,0,46,0,110,0,28,0,2,0
ctiptest,default,Drink,4,34,0,0,2,12,1,6,1,6
ctiptest,default,MsgType,3,0,0,0,1,0,1,0,1,0
ctiptest,default,Controller,341,23,30,0,77,6,26,1,11,1
ctiptest,default,Code,4,15,0,0,2,6,1,3,1,3
ctiptest,default,Card,0,22,0,0,0,8,0,4,0,4
ctiptest,default,Test2,8,0,0,0,3,0,2,0,2,0
ctiptest,default,Network,3,229,6,28,2,61,6,17,0,6
